City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,victoria,40,HK,1587600056,94,22.29,114.16,68.0,6.93
88,cherskiy,0,RU,1587600259,92,68.75,161.3,24.42,8.57
89,topolobampo,5,MX,1587600367,22,25.6,-109.05,87.01,18.34
90,hilo,90,US,1587600007,54,19.73,-155.09,82.4,13.87
91,puerto ayora,20,EC,1587600044,70,-0.74,-90.35,84.2,14.99
92,camana,33,PE,1587600367,72,-16.62,-72.71,68.95,3.87
93,hamilton,1,US,1587600094,37,39.18,-84.53,66.99,13.87
94,east london,16,ZA,1587600244,80,-33.02,27.91,64.58,1.83
95,albany,2,US,1587600241,31,42.6,-73.97,37.99,11.52
96,hami,47,CN,1587600249,17,42.8,93.45,61.63,9.98
97,coihaique,75,CL,1587600249,100,-45.58,-72.07,39.2,2.24
98,lavrentiya,96,RU,1587600250,91,65.58,-171.0,22.41,4.43
99,newton,77,US,1587600307,29,42.34,-71.21,42.01,21.92
100,tuktoyaktuk,90,CA,1587600242,85,69.45,-133.04,14.0,23.04
101,barranca,21,PE,1587600367,70,-10.75,-77.77,71.58,7.63
102,victor harbor,98,AU,1587600367,58,-35.57,138.62,69.01,5.01
103,aktau,75,KZ,1587600262,87,43.65,51.2,48.2,8.95
104,maloy,72,NO,1587600368,93,61.94,5.11,42.8,9.17
105,bud,42,US,1587600368,35,39.45,-86.18,69.01,8.66
106,khani,90,GE,1587600368,87,41.96,42.96,44.6,9.17
107,mayumba,100,GA,1587600368,86,-3.43,10.66,79.63,7.25
108,puerto maldonado,99,PE,1587600250,77,-12.6,-69.18,77.43,1.81
109,isangel,75,VU,1587600260,78,-19.55,169.27,82.4,8.05
110,bowen,75,AU,1587600368,78,-20.02,148.23,84.99,6.93
111,amudat,100,UG,1587600368,57,1.95,34.95,69.44,1.7
112,new norfolk,77,AU,1587600243,68,-42.78,147.06,57.0,3.0
113,ponta do sol,20,PT,1587600260,63,32.67,-17.1,60.8,8.05
114,abu zabad,0,SD,1587600368,12,12.35,29.25,74.98,8.79
115,merauke,100,ID,1587600260,70,-8.47,140.33,83.68,10.25
116,myanaung,4,MM,1587600368,53,18.28,95.32,76.03,2.57
117,avera,1,US,1587600253,56,33.19,-82.53,68.0,5.41
118,te anau,99,NZ,1587600368,69,-45.42,167.72,49.96,7.47
119,lebyazhye,100,RU,1587600368,62,55.27,66.49,46.35,15.12
120,lagoa,63,PT,1587600368,82,39.05,-27.98,58.73,19.33
121,avarua,72,CK,1587600245,74,-21.21,-159.78,84.2,9.17
122,ixtapa,40,MX,1587600368,78,20.7,-105.2,77.0,10.29
123,cypress lake,1,US,1587600368,31,26.54,-81.9,87.8,9.17
124,olafsvik,100,IS,1587600258,78,64.89,-23.71,41.86,10.27
125,auki,85,SB,1587600368,67,-8.77,160.7,85.71,4.99
126,waingapu,83,ID,1587600244,76,-9.66,120.26,82.29,13.15
127,halifax,75,CA,1587600097,80,44.65,-63.57,37.0,16.11
128,touros,20,BR,1587600262,83,-5.2,-35.46,80.6,4.7
129,cidreira,69,BR,1587600147,85,-30.18,-50.21,67.86,7.31
130,natal,20,BR,1587600369,83,-5.79,-35.21,80.6,4.7
131,yanaul,93,RU,1587600369,91,56.27,54.93,36.41,10.92
132,rolla,90,US,1587600226,71,37.95,-91.77,57.2,11.41
133,pangani,93,TZ,1587600369,86,-5.43,38.97,78.3,11.14
134,kupang,7,ID,1587600257,74,-10.17,123.58,81.84,13.47
135,mehamn,42,NO,1587600248,87,71.04,27.85,27.07,13.11
136,antalya,40,TR,1587600369,59,36.77,30.72,64.4,10.29
137,kaeo,95,NZ,1587600369,83,-35.1,173.78,66.0,5.99
138,margate,4,GB,1587600369,74,51.38,1.39,53.01,1.99
139,cockburn town,57,TC,1587600251,73,21.46,-71.14,80.67,9.57
140,poum,16,NC,1587600369,77,-20.23,164.02,78.03,11.34
141,komsomolskiy,7,UZ,1587600369,48,40.43,71.72,60.8,6.93
142,portree,10,GB,1587600369,68,57.41,-6.19,46.99,1.01
143,hithadhoo,38,MV,1587600045,74,-0.6,73.08,83.98,10.29
144,longview,75,US,1587600369,88,32.5,-94.74,71.6,8.05
145,cabo san lucas,5,MX,1587600185,42,22.89,-109.91,80.6,8.05
146,souris,75,CA,1587600369,41,49.62,-100.26,59.0,8.05
147,nikolskoye,38,RU,1587600240,80,59.7,30.79,37.99,6.71
148,ryotsu,75,JP,1587600369,70,38.08,138.43,48.2,5.82
149,kruisfontein,0,ZA,1587600251,71,-34.0,24.73,53.55,3.11
150,saldanha,82,ZA,1587600241,77,-33.01,17.94,60.8,6.93
151,palmer,20,US,1587600369,24,42.16,-72.33,42.8,19.46
152,nome,1,US,1587600243,68,64.5,-165.41,28.0,4.88
153,longyearbyen,0,SJ,1587599990,78,78.22,15.64,12.2,3.0
154,tasiilaq,100,GL,1587600246,93,65.61,-37.64,37.4,33.33
155,broome,75,US,1587600258,37,42.25,-75.83,39.0,17.22
156,luancheng,0,CN,1587600369,15,37.88,114.65,50.0,6.71
157,oktyabrskoye,100,RU,1587600369,100,43.06,44.74,39.2,6.71
158,bluff,98,NZ,1587600246,79,-46.6,168.33,55.99,1.01
159,oktyabrskiy,100,RU,1587600369,89,54.48,53.47,35.06,14.7
160,mitu,95,CO,1587600370,92,1.2,-70.17,73.63,2.59
161,aksu,83,CN,1587600370,44,41.12,80.26,56.52,3.0
162,hay river,75,CA,1587600023,86,60.82,-115.8,30.2,9.17
163,ucluelet,40,CA,1587600095,82,48.93,-125.55,57.0,3.36
164,harsin,33,IR,1587600370,66,34.27,47.59,55.4,6.93
165,lasa,5,IT,1587600370,64,46.62,10.7,44.01,2.86
166,goundam,2,ML,1587600370,12,16.41,-3.67,86.72,9.95
167,waverly,90,US,1587600370,74,42.74,-84.62,37.4,10.29
168,kahului,40,US,1587600244,51,20.89,-156.47,86.0,13.87
